Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
FIAT,FIAT SEDICI,28_23,0,0,0,0,0,0,0,0,0,4,5,227,455,604,628,0,0,0,0,0
FIAT,FIAT SEICENTO,28_24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,869,743,605
FIAT,FIAT STILO,28_26,0,0,0,0,0,0,0,0,0,0,0,0,0,159,525,418,799,493,225,0
FIAT,FIAT TALENTO,28_27,89,13,52,130,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIAT,FIAT TIPO,28_28,1005,1601,1935,5949,1134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FIAT,FIAT ULYSSE,28_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,123,173,64,15,26
FORD,FORD B-MAX,29_1,0,0,662,5232,7154,9841,13045,15027,3037,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD C-MAX,29_2,0,2583,4753,7330,10640,12877,16161,17773,15424,17184,7482,7516,16842,8208,222,14,9,0,0,0
FORD,FORD COUGAR,29_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,167
FORD,FORD ECOSPORT,29_4,8895,24639,21921,13027,14555,10659,2592,10,0,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD EDGE,29_5,1,990,1589,3856,2305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD ESCORT,29_7,0,0,2,0,3,0,1,1,0,0,0,0,1,0,1,0,1,0,1,86
FORD,FORD EXPLORER,29_9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,10
FORD,FORD F150,29_11,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FORD,FORD FIESTA,29_13,46739,74500,89564,87409,113568,125619,122815,113390,100228,87266,91353,100975,73429,73685,66133,43986,39201,32345,17090,6445
FORD,FORD FOCUS,29_14,37738,53901,47374,63283,64870,76895,77222,77782,73326,71077,64533,72711,70986,77257,68079,58824,43404,29093,24270,14364
FORD,FORD FREEDOM,29_40,142,85,250,492,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD FUSION,29_18,0,1,1,1,0,1,2,0,831,2669,6267,9817,9892,9775,9490,7383,7530,7601,1089,0
FORD,FORD GALAXY,29_19,1589,2245,2901,4274,4480,2900,5039,4788,5774,5636,5453,5521,5540,5776,3668,3875,2763,2679,1345,875
FORD,FORD GRAND C-MAX,29_20,0,1058,2738,3631,6592,2557,1040,1297,158,2,0,0,0,0,0,0,0,0,0,0
FORD,FORD GT,29_22,0,0,8,0,0,0,0,0,0,0,0,0,1,2,13,15,0,0,0,0
FORD,FORD INDEPENDENCE,29_41,1041,1089,738,351,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD KA,29_23,0,0,0,2,5499,13122,18490,18602,17120,16383,19267,19457,12296,10499,7394,5197,4503,3360,2943,1478
FORD,FORD KA+,29_24,7,10044,10768,13116,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD KUGA,29_25,15403,39672,38265,35323,33839,31140,23040,13018,9815,9585,10475,8915,3278,0,0,0,0,0,0,0
FORD,FORD MAVERICK,29_26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,59,213,255,90
FORD,FORD MONDEO,29_27,1871,3836,7115,11345,16291,17937,12404,14016,18212,16107,22124,23669,25666,23237,15525,14079,9870,6222,4594,3915
FORD,FORD MONDEO TITANIUM,29_27,448,636,222,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD MUSTANG,29_28,1043,1198,2028,1807,2367,268,33,28,24,20,44,33,106,121,133,181,21,13,8,10
FORD,FORD PUMA,29_29,25750,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,768,1074
FORD,FORD RANGER,29_30,0,1,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1
FORD,FORD S-MAX,29_31,1169,2141,2416,5176,6968,3397,6858,6711,7589,7119,10503,7822,7110,8408,3515,1,0,0,0,0
FORD,FORD STREETKA,29_32,0,0,0,0,0,0,0,0,0,0,0,0,0,1,529,1357,1170,940,0,0
FORD,FORD TOURNEO CONNECT,29_34,2054,1874,1120,1790,2295,1718,113,1,0,0,7,1,5,5,0,2,1,2,0,0
FORD,FORD TOURNEO COURIER,29_39,291,1130,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD TOURNEO CUSTOM,29_35,2697,3097,3333,2600,1398,2029,898,307,0,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD TRANSIT CONNECT,29_36,39,225,322,174,245,324,124,329,224,18,16,21,36,33,22,9,24,14,21,13
FORD,FORD TRANSIT COURIER,29_37,16,55,24,0,8,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0
FORD,FORD TRANSIT CUSTOM,29_38,232,500,202,148,96,289,351,122,0,0,0,0,0,1,0,0,0,0,0,0
HONDA,HONDA ACCORD,34_1,3,1,3,6,2,168,446,519,1309,1428,1526,3764,3985,5179,5192,5419,4663,2927,1297,1275
HONDA,HONDA CIVIC,34_2,5648,12489,13638,14311,16278,15198,14741,15771,13703,11781,18386,22363,27536,33661,25219,19748,17205,13894,12113,9009
HONDA,HONDA CRV,34_3,0,44,8207,11754,14558,14660,15363,14649,12897,10448,10678,10689,12371,17925,12396,12205,8441,7782,5648,2361
HONDA,HONDA CR-V,34_3,5420,7873,1389,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
HONDA,HONDA CR-Z,34_4,0,0,0,0,0,23,165,295,629,1458,1300,0,0,0,0,0,0,0,0,0
HONDA,HONDA FR-V,34_7,0,0,0,0,0,0,0,0,0,0,79,1369,2048,2278,2579,2168,320,0,0,0
HONDA,HONDA HR-V,34_8,3586,4663,5946,5726,6839,2754,0,0,0,0,0,0,0,1,37,289,373,424,795,820
HONDA,HONDA INSIGHT,34_9,0,1,0,0,0,3,232,422,1289,1768,2882,2139,2,0,2,7,4,3,33,61
HONDA,HONDA INTEGRA,34_10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,28,40,48,84,101
HONDA,HONDA JAZZ,34_11,10537,16262,19585,17322,18273,17661,19598,20605,21027,19715,22439,24844,22718,23782,24300,21078,15897,9728,5099,2
HONDA,HONDA LEGEND,34_12,0,0,0,0,0,0,0,0,0,0,0,70,111,132,95,1,2,4,17,24
HONDA,HONDA NSX,34_13,4,9,11,44,7,0,0,0,0,0,0,0,0,0,0,10,3,7,12,2
HONDA,HONDA ODYSSEY,34_14,0,1,2,1,6,3,7,2,8,3,3,8,10,4,5,10,11,7,2,7
HONDA,HONDA PRELUDE,34_19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
HONDA,HONDA S2000,34_16,0,0,0,0,0,0,0,0,0,0,4,248,201,345,397,575,555,573,540,207
HONDA,HONDA STEPWAGON,34_17,0,0,0,0,0,1,3,0,6,3,11,19,27,28,33,51,34,29,6,12
HONDA,HONDA STREAM,34_18,0,0,0,0,0,0,0,0,0,0,1,4,2,2,4,57,210,166,390,311
HUMMER,HUMMER H2,35_2,0,0,0,0,0,0,0,0,0,1,1,1,6,1,2,4,4,2,0,0
HUMMER,HUMMER H3,35_3,0,0,0,0,0,0,0,0,0,0,0,5,26,30,8,6,0,0,0,0
HYUNDAI,HYUNDAI ACCENT,36_1,0,0,0,0,0,0,0,1,1,0,0,23,163,361,389,620,424,336,575,339
HYUNDAI,HYUNDAI AMICA,36_2,0,0,0,0,0,0,0,0,0,0,0,0,1285,3118,2793,0,0,36,853,761
HYUNDAI,HYUNDAI COUPE,36_3,0,0,0,0,0,0,0,0,0,0,0,1436,1462,2269,2011,1438,931,570,336,219
HYUNDAI,HYUNDAI ELANTRA,36_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,99,76,69,72,45
HYUNDAI,HYUNDAI GENESIS,36_5,0,0,0,3,19,17,3,1,0,0,0,0,0,0,0,0,0,0,0,0
HYUNDAI,HYUNDAI GETZ,36_6,0,0,0,0,0,0,0,0,0,0,0,523,5693,6628,6230,5811,5418,2870,289,0
HYUNDAI,HYUNDAI GRANDEUR,36_7,0,0,0,0,0,0,0,0,0,0,4,2,4,14,1,1,0,0,0,0
HYUNDAI,HYUNDAI I10,36_8,6452,17947,20719,23664,22569,22639,23655,21435,21361,18439,20912,21758,5668,0,0,0,0,0,0,0
HYUNDAI,HYUNDAI I20,36_9,4207,7393,8877,11863,14178,13198,13696,13275,10308,10710,11182,11244,123,0,0,0,0,0,0,0
HYUNDAI,HYUNDAI I30,36_10,1650,4281,7491,7090,10402,14649,10562,11234,9627,10385,12273,11059,3480,1226,0,0,0,0,0,0
HYUNDAI,HYUNDAI I40,36_12,6,524,1324,2865,4019,4120,4300,3403,3917,713,0,0,0,0,0,0,0,0,0,0
HYUNDAI,HYUNDAI I800,36_13,79,1734,1124,1327,1014,154,152,213,965,566,525,199,161,0,0,0,0,0,0,0
HYUNDAI,HYUNDAI IONIQ,36_14,7096,8310,7263,4818,421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYUNDAI,HYUNDAI IX20,36_15,119,1564,2241,3876,3779,3413,3619,3509,3725,3857,371,0,0,0,0,0,0,0,0,0
HYUNDAI,HYUNDAI IX35,36_16,0,0,0,2,336,12819,14744,11562,9282,5823,3370,0,0,0,0,0,0,0,0,0
HYUNDAI,HYUNDAI KONA,36_17,12073,8561,6508,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HYUNDAI,HYUNDAI LANTRA,36_4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
HYUNDAI,HYUNDAI MATRIX,36_18,0,0,0,0,0,0,0,0,0,6,214,393,723,1133,1338,1318,880,466,224,28
HYUNDAI,HYUNDAI SANTA FE,36_20,544,1182,2071,2827,4525,3179,2720,1554,3427,3830,3698,942,1320,2117,2539,1707,1456,900,419,117
HYUNDAI,HYUNDAI SONATA,36_21,0,0,0,0,0,0,0,0,0,1,31,69,79,181,196,170,88,72,42,19
HYUNDAI,HYUNDAI TERRACAN,36_22,0,0,0,0,0,0,0,0,0,0,0,0,0,370,462,735,598,215,0,0
HYUNDAI,HYUNDAI TRAJET,36_23,0,0,0,0,0,0,0,0,0,0,0,0,0,14,255,356,201,129,73,33
HYUNDAI,HYUNDAI TUCSON,36_24,12887,25445,25419,24127,21703,5161,1,0,1,0,323,820,973,1868,2660,2366,669,1,0,0
HYUNDAI,HYUNDAI VELOSTER,36_25,0,0,0,0,0,22,143,880,1517,13,0,0,0,0,0,0,0,0,0,0
INFINITI,INFINITI FX30,37_2,0,0,0,0,0,0,2,192,175,124,24,0,0,0,0,0,0,0,0,0
INFINITI,INFINITI Q30,37_5,0,208,312,2505,1764,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
INFINITI,INFINITI Q50,37_6,0,18,258,400,633,765,428,19,0,0,0,0,0,0,0,0,0,0,0,0
INFINITI,INFINITI Q60,37_7,0,3,60,89,15,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0
INFINITI,INFINITI Q70,37_8,0,1,4,132,84,141,12,0,0,0,0,0,0,0,0,0,0,0,0,0
INFINITI,INFINITI QX30,37_9,0,48,85,131,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INFINITI,INFINITI QX50,37_10,0,0,0,0,33,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0
INFINITI,INFINITI QX70,37_11,0,0,0,10,143,109,150,9,0,0,0,0,0,0,0,0,0,0,0,0
ISUZU,ISUZU D-MAX,38_2,0,1,6,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ISUZU,ISUZU TROOPER,38_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,246,318,451,263
JAGUAR,JAGUAR EAGLE,39_14,52,78,88,96,81,96,94,85,95,52,24,23,24,23,19,9,1,0,0,0
JAGUAR,JAGUAR E-PACE,39_1,6130,10661,10141,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAGUAR,JAGUAR F TYPE,39_3,643,753,1448,1968,1976,1891,1981,1080,2,0,0,0,0,0,0,0,0,0,0,0
JAGUAR,JAGUAR F-PACE,39_2,6478,9629,10458,12179,7590,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAGUAR,JAGUAR F-TYPE,39_3,302,705,248,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
JAGUAR,JAGUAR I-PACE,39_13,8218,3935,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAGUAR,JAGUAR S TYPE,39_4,0,0,0,0,0,0,0,0,0,0,0,1,12,2774,2622,2640,2902,2394,1928,1320
JAGUAR,JAGUAR X TYPE,39_5,0,0,0,0,0,0,0,0,0,1,195,5040,6519,6159,6757,6310,6111,4397,2979,1203
JAGUAR,JAGUAR XE SERIES,39_6,1619,4478,5585,10692,12422,8855,1,0,0,0,0,0,0,0,0,0,0,0,0,0
JAGUAR,JAGUAR XF SERIES,39_7,1292,3235,5549,7023,8709,10025,12452,11370,10449,8967,10615,8134,6529,61,0,1,0,0,0,0
JAGUAR,JAGUAR XJ SERIES,39_8,166,400,710,884,1086,972,1038,1148,1027,1557,1397,559,942,1309,1477,1257,1903,2080,679,731
JAGUAR,JAGUAR XK SERIES,39_9,0,0,0,0,0,107,1060,783,809,1102,1302,1121,1276,2135,1930,878,832,902,916,1085
JEEP,JEEP CHEROKEE,40_1,4,25,321,558,1487,2122,1218,137,592,304,750,841,970,2422,3348,2694,2668,2377,1826,1057
JEEP,JEEP COMMANDER,40_2,0,0,0,0,0,0,0,0,0,0,0,84,18,482,346,0,0,0,0,0
JEEP,JEEP COMPASS,40_3,1652,2969,2319,18,0,4,434,574,892,887,5,81,136,105,1,0,0,0,0,0
JEEP,JEEP GRAND CHEROKEE,40_4,64,249,412,861,986,1352,1522,922,57,0,0,0,0,1,0,1,0,0,0,0
JEEP,JEEP PATRIOT,40_5,0,0,0,0,0,0,1,1,0,397,759,557,1312,460,0,0,0,0,0,0
JEEP,JEEP RENEGADE,40_6,1898,1798,2314,3953,10422,5874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JEEP,JEEP WRANGLER,40_7,755,621,365,248,257,484,330,209,154,120,153,310,178,222,90,79,131,136,126,176
KIA,KIA CARENS,43_1,0,87,1535,1764,1811,2211,2305,1506,127,459,479,1799,1956,1187,838,481,336,199,24,36
KIA,KIA CEED,43_2,4053,9763,8519,7692,8583,10038,10192,10630,12737,8692,10526,9787,7187,4052,0,0,0,0,0,0
KIA,KIA CERATO,43_3,0,0,0,0,0,0,0,0,0,0,0,0,0,125,776,833,220,0,0,0
KIA,KIA CLARUS,43_3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
KIA,KIA MAGENTIS,43_4,0,0,0,0,0,0,0,0,0,1,158,196,117,208,251,157,108,62,26,7
KIA,KIA MENTOR,43_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,10
KIA,KIA NIRO,43_5,18234,8932,6089,4047,1197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIA,KIA OPTIMA,43_6,131,1723,2731,3267,1272,646,672,381,799,34,0,0,0,0,0,0,0,0,0,0
KIA,KIA PICANTO,43_7,8935,17372,15738,12866,12588,13631,14575,12910,13392,11119,14469,14514,3860,4010,6687,6392,3556,0,0,0
KIA,KIA PRO CEED,43_8,936,1814,519,906,1214,1327,1588,1054,0,0,0,0,0,0,0,0,0,0,0,0
KIA,KIA RIO,43_9,3395,4854,5621,7998,8936,11499,11445,10386,9588,7734,7450,6429,3108,2018,1845,1214,851,504,247,73
KIA,KIA SEDONA,43_10,3,0,0,0,1,0,1,0,137,787,928,703,1614,1727,1405,1110,800,335,88,32
KIA,KIA SHUMA,43_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,37,32,27
KIA,KIA SORENTO,43_11,1161,2724,2752,3126,3182,4082,2958,2205,2046,1835,2128,1723,1450,2137,3725,2507,1726,561,0,0
KIA,KIA SOUL,43_12,871,339,1920,1645,2129,2589,2689,1294,1660,3531,3128,2462,0,0,0,0,0,0,0,1
KIA,KIA SPORTAGE,43_13,17323,32594,34280,35672,37482,21628,19877,18981,13582,8320,4919,3225,2402,2476,2430,2537,14,95,30,36
KIA,KIA STINGER,43_14,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIA,KIA STONIC,43_15,4502,8099,6753,699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIA,KIA STINGER,43_14,198,852,623,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIA,KIA VENGA,43_16,0,2608,3641,5478,5686,6239,5526,5768,5155,4577,3295,26,0,0,0,0,0,0,0,0
KIA,KIA XCEED,43_19,6370,813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMBORGHINI,LAMBORGHINI AVENTADOR,45_1,63,89,97,65,61,39,31,29,19,5,0,0,0,0,0,0,0,0,0,0
LAMBORGHINI,LAMBORGHINI DIABLO,45_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
LAMBORGHINI,LAMBORGHINI GALLARDO,45_3,0,0,0,0,0,0,7,24,39,28,26,30,48,72,43,25,39,2,0,0
LAMBORGHINI,LAMBORGHINI HURACAN,45_4,96,160,172,87,62,87,19,0,0,0,0,0,0,0,0,0,0,0,0,0
LAMBORGHINI,LAMBORGHINI MURCIELAGO,45_5,0,0,0,0,0,0,0,0,0,0,3,5,12,7,2,5,7,7,9,0
LAND ROVER,LAND ROVER 110,47_1,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,0,1
LAND ROVER,LAND ROVER DEFENDER,47_5,4296,1,0,0,2,16,27,13,8,7,690,1061,1451,1540,1386,1494,1359,1350,813,127
LAND ROVER,LAND ROVER DISCOVERY,47_6,15762,22509,26722,33138,31681,23571,7066,5869,6664,6017,6809,5622,5598,8251,9712,9904,7746,7043,5881,5174
LAND ROVER,LAND ROVER FREELANDER,47_11,0,0,0,0,26,42,11647,13265,10553,12448,14631,10409,11822,16295,9213,9834,9459,6830,5114,2734
LAND ROVER,LAND ROVER RANGE ROVER,47_13,36052,48419,45902,42860,41679,37174,31705,29258,24856,13994,9955,7992,8007,10975,10701,7613,4092,3751,2499,1525
LEXUS,LEXUS CT 200,48_1,1245,1815,2606,2788,2827,3361,3687,3647,4184,3779,0,0,0,0,0,0,0,0,0,0
LEXUS,LEXUS ES 300,48_32,1058,931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEXUS,LEXUS GS 250,48_2,0,0,0,0,0,0,5,362,240,0,0,0,0,0,0,0,0,0,0,0
LEXUS,LEXUS GS 300,48_2,0,3,205,309,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEXUS,LEXUS GS 450,48_2,0,0,21,29,46,42,75,170,335,67,179,233,391,520,386,0,0,0,0,0
LEXUS,LEXUS GS300,48_2,0,0,0,0,4,340,433,63,0,0,1,106,190,364,534,895,108,184,227,204
LEXUS,LEXUS IS F,48_8,0,0,0,0,0,0,0,10,8,28,31,32,67,0,0,0,0,0,0,0
LEXUS,LEXUS IS200,48_8,0,0,0,17,69,43,0,0,128,549,89,0,0,0,0,1072,2045,1849,1522,1291
LEXUS,LEXUS IS220,48_8,0,0,0,0,0,0,0,0,1,21,937,1494,1934,2998,2174,37,0,0,0,0
LEXUS,LEXUS IS250,48_8,0,0,0,0,0,68,205,199,765,964,1443,1427,1810,2395,2387,954,0,0,0,0
LEXUS,LEXUS IS300,48_8,555,1134,1411,1427,1852,2613,2869,1477,0,0,0,0,0,0,0,74,199,215,263,110
LEXUS,LEXUS LC 500,48_14,45,70,136,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEXUS,LEXUS LS430,48_15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,279,271,211,219,255
LEXUS,LEXUS NX300,48_18,4142,4443,4486,3656,3607,2972,792,0,0,0,0,0,0,0,0,0,0,0,0,0
LEXUS,LEXUS RC 300,48_21,247,385,380,394,532,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEXUS,LEXUS RC F,48_21,6,10,17,13,28,130,5,0,0,0,0,0,0,0,0,0,0,0,0,0
LEXUS,LEXUS RX300,48_24,0,0,0,0,0,0,0,0,0,0,0,0,0,2,411,1668,2137,1036,433,333
LEXUS,LEXUS RX350,48_24,0,0,0,0,0,1,0,0,0,0,0,60,104,423,416,0,0,0,0,0
LEXUS,LEXUS RX400,48_24,0,0,0,0,0,0,0,0,0,0,5,1213,2552,2885,2092,1127,0,0,0,0
LEXUS,LEXUS RX450,48_24,1621,1880,1554,2000,2319,1287,1619,1808,1736,1786,2521,1169,0,0,0,0,0,0,0,0
LEXUS,LEXUS RX,48_24,341,472,386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEXUS,LEXUS SC430,48_30,0,0,0,0,0,0,0,0,0,0,0,51,51,148,172,219,212,270,318,196
LEXUS,LEXUS UX 250H,48_31,3899,3336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LINCOLN,LINCOLN TOWN CAR,49_2,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,7,4,3,2,8
LOTUS,LOTUS ELISE,51_3,70,78,60,75,81,95,74,44,37,59,101,85,159,170,185,214,195,227,339,220
LOTUS,LOTUS ESPRIT,51_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3
LOTUS,LOTUS EVORA,51_6,23,44,53,32,71,56,44,41,36,89,130,59,0,0,0,0,0,0,0,0
LOTUS,LOTUS EXIGE,51_7,73,72,75,74,75,69,71,51,1,8,51,28,68,74,79,60,29,0,0,21
MASERATI,MASERATI 3200,55_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,105
MASERATI,MASERATI COUPE,55_4,0,0,0,0,0,0,0,0,0,0,0,0,2,8,43,111,141,106,50,0
MASERATI,MASERATI GHIBLI,55_5,101,222,346,466,792,777,650,2,0,0,0,0,0,0,0,0,0,0,0,0
MASERATI,MASERATI GRAN TURISMO,55_8,2,12,0,0,2,1,1,34,113,149,157,186,318,137,0,0,0,0,0,0
MASERATI,MASERATI GRANCABRIO,55_6,14,23,39,31,52,52,39,72,70,88,107,0,0,0,0,0,0,0,0,0
MASERATI,MASERATI GRANSPORT,55_7,0,0,0,0,0,0,0,0,0,0,0,1,3,55,26,0,0,0,0,0
MASERATI,MASERATI GRANTURISMO,55_8,18,58,92,57,88,103,107,110,29,0,0,1,0,0,0,0,0,0,0,0
MASERATI,MASERATI LEVANTE,55_9,408,512,599,629,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MASERATI,MASERATI QUATTROPORTE,55_10,9,39,66,70,121,158,127,23,8,33,47,95,117,159,97,85,47,0,0,1
MASERATI,MASERATI SPYDER,55_11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,17,22,35,61,4
MAYBACH,MAYBACH 57,56_1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,1,4,1,4,0,0
MAYBACH,MAYBACH 62,56_2,0,0,0,0,0,0,0,0,1,1,2,0,0,2,4,5,7,2,0,0
MAZDA,MAZDA 2,57_10,4091,8360,7936,7537,10122,10018,8556,8764,9205,11110,13546,14206,9958,3795,2203,2032,1761,802,0,0
MAZDA,MAZDA 3,57_11,4232,4276,6899,8013,10650,11950,8663,5315,5337,6010,9590,9399,8545,8119,7285,5927,2112,29,0,0
MAZDA,MAZDA 323,57_1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,574,515,357
MAZDA,MAZDA 5,57_12,0,0,0,0,14,721,628,786,811,932,1791,2022,3502,3465,1864,521,0,0,0,0
MAZDA,MAZDA 6,57_13,1025,4376,3234,4645,7113,7152,6919,4891,3563,5439,7544,6727,6599,5393,3344,2336,1211,657,246,0
MAZDA,MAZDA 626,57_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119,150
MAZDA,MAZDA B2500,57_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
MAZDA,MAZDA CX3,57_6,2721,16161,9522,4732,4854,2365,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAZDA,MAZDA CX5,57_7,2938,1411,5924,6961,7169,7249,7121,5514,1651,0,0,0,0,0,0,0,0,0,0,0
MAZDA,MAZDA CX7,57_8,0,0,0,0,0,0,0,3,178,538,674,317,306,211,0,0,0,0,0,0
MAZDA,MAZDA DEMIO,57_9,0,0,0,0,0,0,1,1,2,2,11,12,16,3,0,1,1,137,312,250
MAZDA,MAZDA MPV,57_14,0,0,0,0,0,0,0,0,0,0,0,1,3,5,3,7,24,24,15,5
MAZDA,MAZDA MX5,57_15,882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAZDA,MAZDA MX-5,57_15,175,3988,4060,4408,3972,2864,2752,3011,3034,3299,4548,4059,5179,7313,6251,3306,3329,4260,3173,1812
MAZDA,MAZDA PREMACY,57_17,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,151,100,84,144
MAZDA,MAZDA RX8,57_18,0,0,0,0,0,0,0,0,0,25,100,313,473,779,847,632,775,139,0,0
MAZDA,MAZDA TRIBUTE,57_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,97,110,82,31
MCLAREN,MCLAREN 540C,58_2,1,7,9,43,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCLAREN,MCLAREN 570GT,58_3,6,52,51,84,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCLAREN,MCLAREN 570S,58_4,21,120,195,149,85,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCLAREN,MCLAREN 600LT,58_9,116,153,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCLAREN,MCLAREN 650S,58_5,0,1,0,0,28,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0
MCLAREN,MCLAREN 675LT,58_6,0,0,0,12,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCLAREN,MCLAREN 720S,58_7,80,145,194,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCLAREN,MCLAREN P1,58_8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES,MERCEDES 200,59_1,0,0,1,0,0,2,2,0,6,0,5,5,8,6,10,24,65,11,37,9
MERCEDES,MERCEDES 500,59_7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,17,9,0
MERCEDES,MERCEDES A CLASS,59_8,34775,47026,40848,39355,37366,27082,24248,16288,5591,5864,6895,7892,8325,8348,7638,5597,3008,3482,2535,1719
MERCEDES,MERCEDES AMG CLASS,59_9,5205,9067,4122,3138,1605,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES,MERCEDES B CLASS,59_11,2720,3975,3821,5540,5293,5664,8342,7238,5929,3864,5035,5094,4474,3854,3472,804,0,0,0,0
MERCEDES,MERCEDES C CLASS,59_12,9676,21683,28412,39648,37729,40124,33031,31068,30455,23539,17034,16194,17711,17238,15638,15552,12784,10175,6250,3443
MERCEDES,MERCEDES CITAN,59_13,37,6,3,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MERCEDES,MERCEDES CL CLASS,59_15,0,0,0,0,0,0,90,109,99,110,166,223,241,478,51,172,228,304,364,208
